Bank  Addr  Label                                                               Size
----  ----  -----                                                               ----
   0  e010  reset                                                               0xff
   0  e10f  pal_fnt                                                             0x4
   0  e113  rts                                                                 0x1
   0  e114  rti                                                                 0x1
   0  e115  irq2                                                                0x7
   0  e11c  irq1                                                                0x30
   0  e14c  user_irq1                                                           0x3
   0  e14f  vsync_hndl                                                          0x64
   0  e1b3  HutrackEngine.irq1.vsyncRTN                                         0xe
   0  e1c1  hsync_hndl                                                          0x51
   0  e212  rcr_init                                                            0x42
   0  e254  rcr_set                                                             0x18
   0  e26c  rcr4                                                                0xe
   0  e27a  rcr5                                                                0x10
   0  e28a  rcr6                                                                0xa
   0  e294  _rcr_on                                                             0x4
   0  e298  __rcr_on                                                            0xc
   0  e2a4  _rcr_off                                                            0x4
   0  e2a8  __rcr_off                                                           0xc
   0  e2b4  timer_user                                                          0x3
   0  e2b7  timer                                                               0xd
   0  e2c4  nmi                                                                 0x7
   0  e2cb  map_data                                                            0x22
   0  e2ed  unmap_data                                                          0x9
   0  e2f6  remap_data                                                          0x15
   0  e30b  _load_palette.3                                                     0x0
   0  e30b  load_palette                                                        0x12
   0  e31d  xfer_palette                                                        0x12
   0  e32f  load_bat                                                            0x0
   0  e32f  _load_bat.4                                                         0x12
   0  e341  load_map                                                            0x2b
   0  e36c  load_font                                                           0x12
   0  e37e  _load_vram.3                                                        0x0
   0  e37e  _load_vram2.4                                                       0x0
   0  e37e  load_vram                                                           0x64
   0  e3e2  set_read                                                            0x17
   0  e3f9  set_write                                                           0x17
   0  e410  calc_vram_addr                                                      0x25
   0  e435  init_vdc                                                            0x12
   0  e447  set_xres                                                            0x12
   0  e459  set_bat_size                                                        0x46
   0  e49f  init_psg                                                            0x12
   0  e4b1  str_find_end                                                        0xf
   0  e4c0  _strncat.3                                                          0x2
   0  e4c2  _strncpy.3                                                          0x13
   0  e4d5  _strcat.2                                                           0x2
   0  e4d7  _strcpy.2                                                           0xa
   0  e4e1  str_overflow                                                        0x1
   0  e4e2  str_terminate                                                       0x5
   0  e4e7  _memcpy.3                                                           0x0
   0  e4e7  _mempcpy.3                                                          0x20
   0  e507  memstr_finish                                                       0xb
   0  e512  _memset.3                                                           0x22
   0  e534  _memcmp.3                                                           0x21
   0  e555  cmp_same                                                            0x4
   0  e559  cmp_plus                                                            0x4
   0  e55d  cmp_minus                                                           0x4
   0  e561  _strcmp.2                                                           0x12
   0  e573  _strncmp.3                                                          0x19
   0  e58c  _strlen.1                                                           0xb
   0  e597  ___builtin_ffs.1                                                    0x12
   0  e5a9  _timer_set                                                          0x4
   0  e5ad  _timer_start                                                        0x6
   0  e5b3  _timer_stop                                                         0x4
   0  e5b7  _timer_get                                                          0x8
   0  e5bf  _irq_disable                                                        0xa
   0  e5c9  _irq_enable                                                         0xc
   0  e5d5  _abort                                                              0x1
   0  e5d6  _exit                                                               0x1
   0  e5d7  _dump_screen                                                        0x1
   0  e5d8  HuTrackEngine.7khz.IRQ                                              0x6d
   0  e645  HuTrackEngine.EngineCall                                            0x41
   0  e686  _HuTrack_Init                                                       0x22
   0  e6a8  _HuTrackEngine_QueueSong.1                                          0x21
   0  e6c9  _HuTrackEngine_PlaySong.1                                           0x17
   0  e6e0  _HuTrackEngine_PlayOnce.1                                           0x17
   0  e6f7  _HuTrackEngine_Pause                                                0x24
   0  e71b  _HuTrackEngine_Stop                                                 0x24
   0  e73f  _HuTrackEngine_SetGlobal.1                                          0xa
   0  e749  _HuTrackEngine_SetGlobal.2                                          0x1b
   0  e764  _HuTrackEngine_getCurrSongTitle.1                                   0x33
   0  e797  _HuTrackEngine_getCurrSongAuthor.1                                  0x33
   0  e7ca  _HuTrackEngine_chanSetSFX.1                                         0x36
   0  e800  _HuTrackEngine_chanReleaseSFX.1                                     0x16
   0  e816  _HuTrackEngine_stopPcm.1                                            0x18
   0  e82e  _HuTrackEngine_PcmRequest.2                                         0x0
   0  e82e  _HuTrackEngine_PcmRequest.3                                         0x6
   0  e834  _HuTrackEngine_PcmRequest.4                                         0x0
   0  e834  _HuTrackEngine_PcmRequest.5                                         0x41
   0  e875  _getFarBank.1                                                       0x4
   0  e879  _getFarAddress.1                                                    0x7
   0  e880  _HuTrackEnginePauseDDA                                              0xc
   0  e88c  _HuTrackEngineResumeDDA                                             0x7
   0  e893  _HuTrackEngineSFXrest.1                                             0x29
   0  e8bc  _HuTrackEngine_SFXmode                                              0xf
   0  e8cb  _HuTrackEngine_SFXmode.1                                            0x14
   0  e8df  _getFarPointer.3                                                    0x12
   0  e8f1  divu8                                                               0x17
   0  e908  divu10                                                              0x16
   0  e91e  mulu8                                                               0x19
   0  e937  mulu16                                                              0x3e
   0  e975  mulu32                                                              0x49
   0  e9be  srand                                                               0x26
   0  e9e4  rand                                                                0xe
   0  e9f2  randomize                                                           0x6b
   0  ea5d  random                                                              0x1a
   0  ea77  eq                                                                  0xc
   0  ea83  eq_endyes                                                           0x11
   0  ea94  eq_endno                                                            0x10
   0  eaa4  eqb                                                                 0x7
   0  eaab  eqzp                                                                0x10
   0  eabb  eqbzp                                                               0xb
   0  eac6  ltb                                                                 0x0
   0  eac6  lt                                                                  0x10
   0  ead6  lt_primary_minus                                                    0x6
   0  eadc  cmp_false                                                           0x11
   0  eaed  getA_ult                                                            0x2
   0  eaef  ult                                                                 0x2
   0  eaf1  ult_y1                                                              0x24
   0  eb15  ublt                                                                0x18
   0  eb2d  gtb                                                                 0x0
   0  eb2d  gt                                                                  0x16
   0  eb43  cmp_ok                                                              0x11
   0  eb54  getA_ugt                                                            0x2
   0  eb56  ugt                                                                 0x2
   0  eb58  ugt_y1                                                              0x24
   0  eb7c  ubgt                                                                0x26
   0  eba2  ltbzp                                                               0x0
   0  eba2  ltzp                                                                0x13
   0  ebb5  ultzp                                                               0x14
   0  ebc9  ubltzp                                                              0xd
   0  ebd6  gtbzp                                                               0x0
   0  ebd6  gtzp                                                                0x13
   0  ebe9  ugtzp                                                               0x14
   0  ebfd  ubgtzp                                                              0xd
   0  ec0a  ge                                                                  0xa
   0  ec14  geb                                                                 0xa
   0  ec1e  gezp                                                                0xa
   0  ec28  gebzp                                                               0xa
   0  ec32  uge                                                                 0xa
   0  ec3c  ubge                                                                0xa
   0  ec46  ugezp                                                               0xa
   0  ec50  ubgezp                                                              0xa
   0  ec5a  ne                                                                  0x2d
   0  ec87  neb                                                                 0x26
   0  ecad  nezp                                                                0x10
   0  ecbd  nebzp                                                               0xb
   0  ecc8  le                                                                  0xa
   0  ecd2  leb                                                                 0xa
   0  ecdc  lezp                                                                0xa
